,count
5,1025
1,612
啊？,487
？,304
哈哈哈哈,217
哈哈哈哈哈,155
哈哈哈哈哈哈,132
哈哈哈,124
哈哈哈哈哈哈哈,109
6,96
神中神,93
逆天,93
口音正确,88
？？？,75
1:10,74
好好好,67
1：10,66
23,66
舒服了,62
4,61
哈哈哈哈哈哈哈哈,60
帅,58
111,58
sage,51
神,50
666,49
随机弹道受益者,48
确实,47
110,47
能,46
啊,46
保安,45
3,44
?,44
触发连招,43
哈哈,42
.,42
笑死我了,39
22,39
蕾娜,38
哈哈哈哈哈哈哈哈哈,37
对味了,36
2,34
海神,34
cf领先一百年,34
？？,33
0,33
21,33
？？？？,32
哈哈哈哈哈哈哈哈哈哈,31
蚌埠住了,31
难绷,31
爬爬爬,30
想想想 有趣,30
马服,30
有别的选择了,30
对胃了,30
亚星卓,30
我是来看这个的？,29
好闪,29
没有！,28
绷不住了,28
愛！愛死了！,28
典,28
奶妈,28
1111,27
神！,27
可爱捏,26
笑死,26
唐,25
真实,25
狂鼠,24
恶心,24
Nonono,24
11,24
你好,24
抽象,24
答辩,23
+,23
神中神！,22
可可靠,22
都有问题,22
啊?,22
打不过的都是,22
毕业了,22
太真实了,22
火男,22
kayo,21
天才,21
[前方高能],21
你是？,21
@听歌识曲,20
天才！,20
笑死了,20
不能,20
ko,20
学会了！,20
泪目,20
一般,19
是我了,19
还有高手？,19
喜欢得很,19
布史东,19
牛逼,19
牛牛牛,19
起来重睡,19
幽影,19
好骂,19
781,19
还有高手,18
viper,18
最有手感的一集,18
他是懂火男的,18
一眼就能认出,18
妈！！！,18
国服,18
不算,18
奇怪的队友,18
？？？？？,18
马！,18
5分,18
队友的,18
男孩别哭,18
名场面,18
哈哈哈哈笑死我了,17
卧槽,17
妈妈生的,17
还真是,17
斯凯,17
唐完了,17
evo,17
陌生,17
蓝色小丑,16
霓虹,16
星际穿越,16
还好。,16
一坨,16
输过 难受死,16
这下会玩了,16
我阐释你的梦,16
松开所有键位,16
生化模式,16
谁问你了,16
一般 不如（,16
国际服,15
马脸火男,15
高敏！,15
无敌,15
蝰蛇,15
半藏,15
亏贼,15
百家争鸣,15
买了,15
玩不下去,14
nb,14
欧门,14
老广,14
还行捏,14
国服特色,14
傻瓜蛋,14
在现场,14
没绷住,14
别骂了别骂了,14
和我不相上下,14
太对了,14
帅帅帅,14
挺喜欢,14
开幕雷击,13
帅otto,13
哈哈哈哈哈哈哈哈哈哈哈哈,13
红红火火恍恍惚惚,13
经典,13
整理遗容,13
苍雷,13
趴握,13
炼狱,13
手感来了,13
男生,13
芮娜,13
太抽象了,13
哈哈哈哈哈哈哈哈哈哈哈哈哈哈,13
狂鼠？,12
幽默,12
是的,12
绷,12
笑嘻了,12
、,12
强！无敌！,12
我阐述你的梦,12
握握我的,12
hk417,12
不，啥大便槍,12
哈哈哈哈哈哈哈哈哈哈哈,12
铠宙,12
雇佣兵爷爷,12
已入捏！,12
防守的时候怎么办嘛,11
毫无违和感,11
奥丁永远的神,11
kj,11
111111,11
最喜欢的一集,11
学到了,11
可以,11
正片结束,11
是我,11
bt,11
对味,11
直播间在逃,11
哈哈哈哈哈哈哈哈哈哈哈哈哈,11
支持！,11
找个班上吧,11
黑武士,11
督战墙,11
经典南方口音,11
拉,10
无效消音,10
盖可,10
当心眼睛！,10
11111,10
散热器,10
致膝盖上的擦伤，童年的时光和青春心事,10
女鬼,10
hhh,10
HK417,10
布布,10
离谱,10
帅 otto,10
nt,10
电幻普普,10
嘟↑嘟↓嘟↑嘟↓嘟↑嘟↓嘟↑嘟↓~,10
菲德,10
细说整根握住,10
[ohhhhhh],10
难听,10
[ohhhhhhh],10
买！帅就完了,10
眨眼补帧,10
23神中神,10
判奇,10
奇点,9
还行,9
丑,9
要来力,9
详略得当,9
舒服,9
拉了,9
不喜欢,9
好剪,9
帅！,9
东北人,9
钱包,9
222,9
北欧口音,9
奥丁狗玩不起,9
夜露,9
p5！,9
夜戮,9
奥丁狗,9
鸟语花香,9
当心眼睛,9
我xx没有开挂,9
p5,9
fade,9
黑骑士,9
114514,9
妙牛魔,9
？？？？？？？？,9
痞老板爆头线,9
[ohh],8
啊？？？,8
逆天准星,8
一方水土养一方人,8
难道他真的是天才？,8
草,8
《我们》,8
你的下一个半藏何必是半藏,8
EDG加油！,8
苏法还是算了吧,8
0cd电影院,8
EDG加油,8
武器大师,8
这不得来个ko,8
hhhhh,8
你就说杀没杀吧,8
是,8
蚌,8
手感上来了,8
酱紫剪,8
.0,8
康康！！！！,8
小丑,8
最抽象的一集,8
啊？？,8
饭里有毒,8
奥丁,8
谁家小孩,8
hhhh,8
旗鼓相当的对手,8
mp9,8
这音乐还不行？,8
太帅了,8
年轻就是好，倒头就睡,8
好,8
ni xian kai de,8
帅啊,8
同款耳机,8
尊嘟假嘟！,8
你先开的,8
法鸡,8
假,7
帅otto！,7
捂胃契约,7
好马,7
亻尔女子,7
混沌,7
随机弹道享受者,7
侦查,7
这个不行,7
挂,7
正确的,7
难蚌,7
合理 没毛病,7
遥遥领先,7
我突然释怀的笑,7
我是秦始皇,7
欢迎回来,7
m14ebr,7
爽！,7
6666,7
奥丁魅力时刻,7
z,7
毁灭,7
倒头就睡,7
描边大师,7
哇袄！,7
xswl,7
好似,7
对对对,7
女生,7
不像演的,7
丁真,7
烟中恶鬼,7
绝命毒师,7
听歌识曲,7
随机弹道之神,7
',7
傻瓜蛋！,6
我诠释你的梦,6
正在奏响您的冠军凯歌！！！,6
爷早会了！,6
细说整根,6
《高效火力》,6
NB,6
急停,6
是这样的,6
r8,6
东百口音,6
这个幽影一听就南方人,6
哈哈就喜欢这样的,6
沙鹰,6
成分复杂,6
边陲,6
WTF？,6
《有女同吗》,6
rgb,6
注入牛魔,6
I want it more than my life,6
这个巧妙,6
整理仪容仪表,6
确实帅,6
帅，otto,6
马来狗,6
《百家争鸣》,6
易大山！,6
无限火力,6
\,6
镜头语言,6
啊！,6
呃呃,6
csgo,6
喜欢捏！,6
女鬼是吧,6
老婆,6
...,6
不死鸟,6
你好李鑫,6
听取妈声一片,6
国服是这样的,6
电报员,6
世界聚焦于你,6
猜到结局,6
太难了,6
洛卡,6
[ohhhhh],6
小寄巧,6
One more!,6
哇,6
俺也一样,6
????,6
一般般,6
这位更是重量级,6
垂直加激光,6
广州人,6
抓握,6
。,6
好厚的血,6
素材库限时免费,6
卡兹,6
乐死我了,6
密客,6
爽,6
猪骨棒,6
侦查行动,6
早就会了,6
事故多发地,6
狂鼠是吧,6
好枪,6
不信,6
谁问你了？,6
要来了,6
泽丽,6
起来重死,6
看看帅哥,6
国服没有,6
坏了,6
98k,6
妙啊,6
热乎的,6
港服吧,6
听不懂啊,6
太爽,6
比我还菜！,6
战歌起,6
实践是检验真理的唯一标准,6
没有捏,6
这弹道就离谱,6
1！5！,6
手,6
这个真没绷住,6
黑龙,6
byd还挺帅,6
小帮手,6
瑟瑟发抖吧,6
彩六玩家,6
球球！,6
我还以为是首次充值呢,6
夜路,6
不可能的,6
零,6
这个不太行,5
内个,5
没关就是开了？,5
比我强,5
厉害,5
死神猎手,5
压力怪,5
太软了,5
6666666,5
其他 请补充,5
来感觉了,5
守望先锋,5
来了,5
嚯哈哈哈哈哈,5
恶鬼,5
这个真不行,5
愤怒的公牛,5
燃起来了,5
烟男,5
太爽了,5
唯一真神,5
